moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
1995-01,486.0,2.0,122.0,352.0,282.0,177.0,326.0,52.0,,176.0,28.0,1724.0,74.0,1459.0,274.0,18.0
1995-02,536.0,2.0,137.0,349.0,357.0,213.0,435.0,67.0,1.0,139.0,20.0,2251.0,34.0,1784.0,316.0,9.0
1995-03,839.0,14.0,202.0,549.0,460.0,272.0,646.0,88.0,5.0,217.0,34.0,3372.0,47.0,2632.0,507.0,12.0
1995-04,664.0,5.0,154.0,398.0,353.0,210.0,536.0,69.0,9.0,195.0,60.0,2632.0,58.0,2145.0,385.0,6.0
1995-05,734.0,6.0,166.0,498.0,419.0,327.0,618.0,82.0,4.0,246.0,18.0,3121.0,71.0,2504.0,463.0,12.0
1995-06,892.0,32.0,216.0,591.0,686.0,359.0,849.0,120.0,6.0,266.0,50.0,4320.0,66.0,3409.0,743.0,13.0
1995-07,692.0,12.0,143.0,465.0,374.0,243.0,523.0,77.0,2.0,175.0,21.0,2513.0,83.0,2167.0,380.0,17.0
1995-08,660.0,7.0,133.0,536.0,378.0,209.0,571.0,110.0,1.0,252.0,22.0,2900.0,33.0,2517.0,419.0,15.0
1995-09,663.0,9.0,158.0,555.0,399.0,284.0,624.0,67.0,1.0,213.0,20.0,3153.0,43.0,2649.0,485.0,23.0
1995-10,602.0,6.0,115.0,497.0,382.0,233.0,495.0,104.0,,191.0,48.0,2721.0,56.0,2241.0,387.0,21.0
1995-11,666.0,17.0,190.0,540.0,416.0,250.0,564.0,93.0,,182.0,40.0,2971.0,40.0,2486.0,413.0,13.0
1995-12,893.0,18.0,228.0,719.0,553.0,358.0,807.0,123.0,2.0,328.0,24.0,4266.0,47.0,3524.0,656.0,19.0
1996-01,385.0,13.0,88.0,347.0,285.0,173.0,281.0,68.0,2.0,185.0,25.0,1735.0,26.0,1392.0,237.0,13.0
1996-02,514.0,12.0,115.0,407.0,313.0,201.0,431.0,71.0,2.0,196.0,22.0,2167.0,64.0,1796.0,330.0,11.0
1996-03,683.0,15.0,206.0,547.0,428.0,282.0,654.0,108.0,6.0,270.0,27.0,3309.0,70.0,2636.0,465.0,23.0
1996-04,569.0,9.0,170.0,513.0,381.0,231.0,467.0,106.0,2.0,189.0,22.0,2484.0,91.0,2145.0,396.0,14.0
1996-05,711.0,11.0,172.0,605.0,432.0,333.0,674.0,112.0,2.0,221.0,32.0,3508.0,96.0,3040.0,543.0,12.0
1996-06,798.0,15.0,300.0,618.0,561.0,410.0,768.0,126.0,3.0,287.0,40.0,4389.0,96.0,3341.0,673.0,13.0
1996-07,661.0,23.0,180.0,674.0,413.0,266.0,524.0,133.0,,225.0,22.0,2781.0,108.0,2538.0,440.0,14.0
1996-08,706.0,19.0,169.0,791.0,418.0,280.0,578.0,83.0,,240.0,21.0,3254.0,92.0,3129.0,447.0,23.0
1996-09,661.0,38.0,193.0,676.0,453.0,372.0,544.0,92.0,1.0,213.0,37.0,3132.0,101.0,2857.0,421.0,18.0
1996-10,753.0,19.0,195.0,735.0,480.0,321.0,536.0,100.0,,289.0,27.0,3156.0,118.0,2839.0,412.0,23.0
1996-11,843.0,21.0,298.0,853.0,492.0,341.0,651.0,120.0,,336.0,36.0,3581.0,131.0,3269.0,566.0,25.0
1996-12,986.0,19.0,268.0,967.0,577.0,403.0,743.0,125.0,,395.0,41.0,4018.0,96.0,3730.0,659.0,33.0
1997-01,594.0,19.0,148.0,594.0,323.0,237.0,403.0,77.0,,229.0,37.0,1968.0,78.0,1780.0,372.0,24.0
1997-02,684.0,11.0,149.0,748.0,397.0,267.0,475.0,136.0,4.0,234.0,46.0,2466.0,80.0,2330.0,374.0,38.0
1997-03,800.0,23.0,223.0,884.0,475.0,355.0,602.0,127.0,1.0,238.0,65.0,2937.0,82.0,2716.0,413.0,22.0
1997-04,814.0,13.0,200.0,861.0,405.0,276.0,496.0,134.0,1.0,201.0,50.0,2466.0,138.0,2660.0,399.0,28.0
1997-05,942.0,21.0,243.0,1056.0,588.0,364.0,619.0,124.0,2.0,234.0,34.0,3312.0,160.0,3262.0,484.0,36.0
1997-06,1127.0,27.0,350.0,1261.0,643.0,424.0,665.0,174.0,4.0,313.0,58.0,3988.0,115.0,3779.0,587.0,44.0
1997-07,829.0,24.0,220.0,1017.0,493.0,468.0,476.0,149.0,,214.0,72.0,2672.0,121.0,2753.0,439.0,38.0
1997-08,892.0,23.0,237.0,1179.0,547.0,472.0,588.0,144.0,,237.0,25.0,2821.0,110.0,2875.0,425.0,39.0
1997-09,850.0,19.0,227.0,1031.0,473.0,497.0,547.0,152.0,,245.0,51.0,2521.0,74.0,2624.0,403.0,36.0
1997-10,913.0,27.0,212.0,1104.0,485.0,465.0,564.0,159.0,,289.0,43.0,2719.0,102.0,2881.0,466.0,43.0
1997-11,859.0,13.0,222.0,1091.0,485.0,511.0,547.0,140.0,3.0,235.0,52.0,2605.0,107.0,2599.0,394.0,34.0
1997-12,1117.0,50.0,267.0,1266.0,587.0,477.0,676.0,195.0,4.0,377.0,49.0,3506.0,175.0,3533.0,503.0,40.0
1998-01,524.0,30.0,131.0,604.0,257.0,249.0,322.0,92.0,,189.0,29.0,1508.0,50.0,1431.0,218.0,23.0
1998-02,731.0,34.0,152.0,818.0,306.0,294.0,371.0,103.0,5.0,188.0,17.0,1978.0,76.0,2024.0,326.0,31.0
1998-03,885.0,20.0,222.0,1006.0,374.0,386.0,436.0,116.0,5.0,270.0,19.0,2477.0,103.0,2509.0,338.0,32.0
1998-04,799.0,22.0,184.0,925.0,366.0,339.0,414.0,116.0,1.0,236.0,32.0,2171.0,97.0,2334.0,298.0,27.0
1998-05,878.0,19.0,210.0,1075.0,465.0,338.0,474.0,125.0,2.0,407.0,31.0,2790.0,100.0,2888.0,347.0,63.0
1998-06,1098.0,40.0,287.0,1396.0,571.0,539.0,571.0,159.0,5.0,507.0,36.0,3412.0,126.0,3567.0,504.0,39.0
1998-07,893.0,19.0,261.0,1154.0,411.0,374.0,432.0,131.0,7.0,350.0,24.0,2407.0,116.0,2714.0,385.0,44.0
1998-08,849.0,21.0,202.0,1107.0,391.0,417.0,406.0,113.0,6.0,310.0,33.0,2411.0,86.0,2454.0,358.0,36.0
1998-09,773.0,18.0,208.0,1011.0,395.0,384.0,385.0,115.0,7.0,283.0,51.0,2269.0,101.0,2523.0,347.0,29.0
1998-10,857.0,30.0,186.0,1105.0,478.0,373.0,404.0,123.0,2.0,289.0,28.0,2331.0,93.0,2680.0,363.0,33.0
1998-11,855.0,12.0,164.0,1096.0,465.0,365.0,385.0,127.0,4.0,315.0,43.0,2413.0,94.0,2556.0,350.0,33.0
1998-12,1114.0,62.0,212.0,1392.0,528.0,472.0,504.0,172.0,1.0,420.0,76.0,3004.0,130.0,3356.0,456.0,52.0
1999-01,534.0,40.0,88.0,631.0,306.0,260.0,221.0,101.0,1.0,202.0,29.0,1315.0,81.0,1414.0,228.0,26.0
1999-02,625.0,56.0,131.0,804.0,291.0,265.0,291.0,137.0,3.0,228.0,53.0,1804.0,89.0,2085.0,276.0,25.0
1999-03,860.0,46.0,169.0,1083.0,436.0,451.0,414.0,131.0,4.0,362.0,71.0,2267.0,102.0,2890.0,374.0,24.0
1999-04,902.0,34.0,174.0,1098.0,452.0,403.0,392.0,129.0,5.0,312.0,53.0,2317.0,98.0,2688.0,394.0,33.0
1999-05,978.0,23.0,171.0,1180.0,432.0,387.0,431.0,173.0,2.0,275.0,42.0,2429.0,138.0,2910.0,413.0,53.0
1999-06,1157.0,73.0,241.0,1434.0,533.0,586.0,554.0,178.0,3.0,405.0,113.0,3068.0,196.0,3420.0,570.0,46.0
1999-07,1026.0,32.0,212.0,1356.0,454.0,590.0,466.0,199.0,3.0,286.0,80.0,2655.0,194.0,3028.0,511.0,43.0
1999-08,906.0,64.0,149.0,1200.0,412.0,474.0,389.0,185.0,5.0,214.0,75.0,2377.0,149.0,2839.0,413.0,42.0
1999-09,877.0,47.0,159.0,1215.0,430.0,447.0,471.0,150.0,11.0,252.0,107.0,2284.0,112.0,2813.0,424.0,58.0
1999-10,942.0,40.0,199.0,1342.0,387.0,415.0,452.0,157.0,8.0,351.0,124.0,2527.0,135.0,3056.0,445.0,58.0
1999-11,986.0,36.0,195.0,1408.0,404.0,410.0,411.0,145.0,8.0,302.0,109.0,2510.0,178.0,3094.0,460.0,58.0
1999-12,1254.0,87.0,275.0,1640.0,615.0,536.0,575.0,146.0,14.0,347.0,60.0,3052.0,248.0,3856.0,550.0,67.0
2000-01,537.0,19.0,98.0,773.0,269.0,232.0,245.0,87.0,6.0,233.0,55.0,1497.0,93.0,1592.0,257.0,33.0
2000-02,752.0,32.0,170.0,978.0,385.0,359.0,316.0,103.0,16.0,232.0,109.0,2015.0,102.0,2235.0,308.0,36.0
2000-03,1034.0,59.0,237.0,1420.0,543.0,403.0,517.0,175.0,24.0,309.0,131.0,2757.0,169.0,3292.0,432.0,43.0
2000-04,819.0,53.0,201.0,1127.0,423.0,316.0,355.0,132.0,12.0,261.0,56.0,2224.0,156.0,2549.0,378.0,43.0
2000-05,961.0,77.0,196.0,1224.0,476.0,324.0,422.0,155.0,9.0,299.0,81.0,2437.0,130.0,2942.0,361.0,47.0
2000-06,1141.0,24.0,299.0,1578.0,633.0,473.0,590.0,214.0,5.0,370.0,66.0,3614.0,229.0,4106.0,595.0,78.0
2000-07,667.0,47.0,199.0,1000.0,367.0,267.0,314.0,124.0,3.0,241.0,102.0,2059.0,117.0,2637.0,371.0,76.0
2000-08,924.0,29.0,209.0,1165.0,372.0,267.0,377.0,153.0,5.0,229.0,45.0,2201.0,102.0,2665.0,400.0,76.0
2000-09,837.0,48.0,166.0,1148.0,389.0,312.0,423.0,134.0,6.0,210.0,53.0,2399.0,111.0,2852.0,374.0,70.0
2000-10,720.0,47.0,204.0,1060.0,373.0,282.0,372.0,114.0,4.0,204.0,55.0,2011.0,103.0,2447.0,366.0,57.0
2000-11,890.0,41.0,210.0,1147.0,402.0,296.0,369.0,120.0,3.0,235.0,55.0,2112.0,102.0,2560.0,381.0,49.0
2000-12,1232.0,64.0,216.0,1636.0,622.0,444.0,584.0,191.0,6.0,375.0,58.0,3297.0,175.0,3806.0,457.0,73.0
2001-01,532.0,33.0,136.0,662.0,273.0,167.0,255.0,79.0,1.0,160.0,33.0,1146.0,83.0,1438.0,228.0,42.0
2001-02,681.0,29.0,171.0,795.0,424.0,213.0,314.0,89.0,2.0,204.0,46.0,1648.0,81.0,1926.0,251.0,27.0
2001-03,1107.0,38.0,200.0,1267.0,561.0,402.0,515.0,148.0,8.0,275.0,66.0,2553.0,145.0,2846.0,348.0,32.0
2001-04,821.0,46.0,167.0,1033.0,427.0,282.0,357.0,134.0,1.0,227.0,64.0,2044.0,116.0,2417.0,298.0,50.0
2001-05,959.0,48.0,199.0,1222.0,437.0,349.0,467.0,135.0,5.0,258.0,78.0,2293.0,107.0,2706.0,339.0,84.0
2001-06,1495.0,58.0,305.0,1807.0,743.0,552.0,724.0,195.0,3.0,386.0,108.0,3634.0,205.0,4353.0,520.0,125.0
2001-07,863.0,37.0,162.0,1115.0,474.0,341.0,382.0,127.0,1.0,270.0,50.0,2151.0,143.0,2451.0,341.0,73.0
2001-08,988.0,39.0,204.0,1363.0,593.0,489.0,460.0,154.0,4.0,274.0,47.0,2550.0,149.0,2890.0,371.0,69.0
2001-09,809.0,32.0,203.0,1179.0,385.0,328.0,419.0,102.0,3.0,263.0,53.0,2116.0,124.0,2590.0,374.0,58.0
2001-10,863.0,41.0,203.0,1168.0,380.0,395.0,360.0,136.0,2.0,275.0,45.0,2193.0,126.0,2443.0,407.0,69.0
2001-11,1004.0,41.0,236.0,1284.0,483.0,479.0,472.0,133.0,4.0,329.0,67.0,2432.0,112.0,2830.0,501.0,72.0
2001-12,1391.0,62.0,293.0,1722.0,652.0,523.0,619.0,152.0,9.0,336.0,78.0,3035.0,132.0,3678.0,553.0,85.0
2002-01,461.0,28.0,137.0,621.0,276.0,219.0,222.0,97.0,2.0,169.0,33.0,1235.0,81.0,1395.0,258.0,26.0
2002-02,692.0,19.0,162.0,886.0,411.0,295.0,364.0,131.0,4.0,241.0,49.0,1634.0,99.0,1940.0,333.0,36.0
2002-03,1207.0,53.0,248.0,1434.0,569.0,507.0,558.0,174.0,10.0,424.0,71.0,2540.0,138.0,3084.0,496.0,39.0
2002-04,827.0,44.0,185.0,1164.0,489.0,365.0,456.0,152.0,5.0,258.0,49.0,2103.0,135.0,2358.0,415.0,56.0
2002-05,1233.0,49.0,261.0,1617.0,636.0,505.0,682.0,187.0,4.0,382.0,32.0,2933.0,192.0,3175.0,501.0,65.0
2002-06,1403.0,40.0,317.0,1621.0,723.0,601.0,636.0,188.0,1.0,382.0,43.0,3315.0,245.0,3676.0,592.0,87.0
2002-07,1034.0,25.0,243.0,1161.0,597.0,482.0,470.0,129.0,,351.0,22.0,2548.0,179.0,2559.0,411.0,88.0
2002-08,1183.0,22.0,269.0,1404.0,591.0,471.0,545.0,149.0,2.0,328.0,20.0,2410.0,155.0,2888.0,546.0,108.0
2002-09,1025.0,36.0,301.0,1170.0,561.0,443.0,442.0,147.0,,305.0,26.0,2207.0,139.0,2618.0,469.0,57.0
2002-10,969.0,31.0,331.0,1303.0,557.0,470.0,470.0,164.0,3.0,290.0,17.0,2162.0,136.0,2580.0,413.0,59.0
2002-11,1026.0,29.0,373.0,1336.0,647.0,557.0,526.0,179.0,1.0,341.0,31.0,2503.0,136.0,2994.0,512.0,72.0
2002-12,1313.0,13.0,418.0,1666.0,802.0,714.0,662.0,277.0,4.0,405.0,37.0,3371.0,191.0,3800.0,635.0,71.0
2003-01,557.0,20.0,170.0,699.0,380.0,233.0,254.0,120.0,1.0,224.0,13.0,1240.0,81.0,1457.0,252.0,31.0
2003-02,668.0,11.0,221.0,866.0,514.0,324.0,317.0,162.0,,275.0,22.0,1620.0,145.0,1931.0,327.0,30.0
2003-03,800.0,8.0,251.0,1112.0,517.0,451.0,402.0,180.0,,270.0,22.0,2058.0,176.0,2307.0,432.0,57.0
2003-04,768.0,12.0,239.0,976.0,468.0,373.0,403.0,154.0,,267.0,33.0,1808.0,148.0,2072.0,380.0,76.0
2003-05,836.0,27.0,315.0,1177.0,504.0,513.0,460.0,166.0,2.0,362.0,37.0,2145.0,189.0,2489.0,468.0,81.0
2003-06,1314.0,11.0,420.0,1511.0,758.0,671.0,702.0,246.0,15.0,483.0,48.0,3358.0,202.0,3651.0,612.0,103.0
2003-07,769.0,12.0,286.0,941.0,514.0,408.0,504.0,136.0,2.0,291.0,29.0,1902.0,150.0,2111.0,424.0,67.0
2003-08,944.0,15.0,319.0,1232.0,568.0,468.0,674.0,167.0,2.0,271.0,31.0,2038.0,196.0,2426.0,427.0,58.0
2003-09,965.0,9.0,268.0,1147.0,553.0,448.0,524.0,174.0,6.0,315.0,27.0,2100.0,167.0,2631.0,554.0,87.0
2003-10,1089.0,2.0,323.0,1391.0,654.0,548.0,544.0,190.0,14.0,291.0,17.0,2502.0,187.0,2842.0,602.0,67.0
2003-11,1026.0,4.0,267.0,1440.0,816.0,612.0,615.0,194.0,12.0,418.0,25.0,2695.0,209.0,2682.0,559.0,91.0
2003-12,1480.0,2.0,467.0,1783.0,1161.0,853.0,780.0,260.0,11.0,510.0,57.0,3774.0,270.0,3952.0,860.0,163.0
2004-01,605.0,11.0,193.0,679.0,404.0,295.0,384.0,95.0,2.0,214.0,17.0,1367.0,98.0,1489.0,276.0,43.0
2004-02,832.0,21.0,262.0,953.0,461.0,437.0,399.0,96.0,2.0,290.0,38.0,1673.0,121.0,1798.0,373.0,51.0
2004-03,1108.0,13.0,237.0,1118.0,665.0,510.0,529.0,157.0,3.0,356.0,41.0,2295.0,240.0,2433.0,548.0,88.0
2004-04,989.0,15.0,304.0,1145.0,609.0,573.0,514.0,199.0,5.0,407.0,35.0,2274.0,176.0,2398.0,521.0,43.0
2004-05,1189.0,13.0,384.0,1124.0,657.0,522.0,486.0,190.0,3.0,446.0,47.0,2405.0,169.0,2293.0,525.0,48.0
2004-06,1582.0,14.0,476.0,1445.0,878.0,698.0,647.0,344.0,1.0,604.0,37.0,3521.0,230.0,3624.0,715.0,104.0
2004-07,1012.0,22.0,330.0,1148.0,604.0,486.0,531.0,216.0,3.0,405.0,33.0,2240.0,137.0,2270.0,461.0,54.0
2004-08,966.0,11.0,314.0,1068.0,553.0,440.0,441.0,213.0,4.0,360.0,42.0,2215.0,155.0,2129.0,511.0,38.0
2004-09,1041.0,18.0,308.0,1133.0,604.0,555.0,415.0,181.0,7.0,399.0,32.0,2080.0,154.0,2115.0,507.0,27.0
2004-10,998.0,22.0,333.0,990.0,553.0,530.0,438.0,198.0,3.0,389.0,19.0,2180.0,209.0,1991.0,458.0,44.0
2004-11,926.0,20.0,299.0,959.0,621.0,478.0,478.0,170.0,2.0,427.0,18.0,2251.0,180.0,2022.0,396.0,61.0
2004-12,1415.0,29.0,392.0,1497.0,1040.0,752.0,839.0,282.0,2.0,622.0,33.0,3682.0,211.0,3453.0,724.0,125.0
2005-01,583.0,9.0,165.0,686.0,447.0,290.0,308.0,136.0,2.0,221.0,15.0,1102.0,86.0,1268.0,318.0,34.0
2005-02,764.0,13.0,241.0,640.0,484.0,383.0,337.0,146.0,1.0,389.0,29.0,1446.0,98.0,1406.0,312.0,63.0
2005-03,900.0,22.0,338.0,840.0,646.0,559.0,479.0,166.0,3.0,473.0,14.0,1909.0,140.0,1913.0,542.0,49.0
2005-04,1027.0,2.0,350.0,906.0,710.0,650.0,505.0,195.0,,445.0,26.0,2099.0,163.0,1991.0,490.0,37.0
2005-05,942.0,6.0,362.0,847.0,707.0,683.0,477.0,228.0,8.0,457.0,33.0,1954.0,164.0,1948.0,505.0,52.0
2005-06,1424.0,21.0,401.0,1257.0,1095.0,950.0,963.0,335.0,3.0,647.0,65.0,3459.0,277.0,3002.0,832.0,56.0
2005-07,1049.0,13.0,280.0,1020.0,778.0,608.0,512.0,251.0,3.0,330.0,26.0,1983.0,169.0,2020.0,487.0,38.0
2005-08,944.0,8.0,287.0,818.0,722.0,550.0,585.0,232.0,1.0,385.0,29.0,2010.0,155.0,2006.0,564.0,32.0
2005-09,1069.0,17.0,347.0,1083.0,888.0,816.0,588.0,285.0,,437.0,38.0,2292.0,151.0,2383.0,620.0,49.0
2005-10,1024.0,11.0,266.0,971.0,710.0,715.0,547.0,238.0,1.0,490.0,54.0,2080.0,190.0,1956.0,548.0,44.0
2005-11,1030.0,13.0,308.0,1024.0,678.0,736.0,523.0,242.0,2.0,512.0,39.0,2274.0,169.0,2307.0,516.0,53.0
2005-12,1657.0,28.0,455.0,1577.0,1223.0,1052.0,995.0,424.0,6.0,855.0,58.0,3613.0,337.0,3727.0,893.0,78.0
2006-01,744.0,6.0,165.0,678.0,543.0,479.0,419.0,149.0,,362.0,41.0,1481.0,101.0,1515.0,438.0,28.0
2006-02,988.0,11.0,254.0,738.0,625.0,527.0,472.0,175.0,,434.0,32.0,1905.0,117.0,1743.0,469.0,48.0
2006-03,1292.0,23.0,419.0,1083.0,916.0,833.0,744.0,260.0,,554.0,40.0,2752.0,201.0,2546.0,631.0,64.0
2006-04,1194.0,14.0,354.0,892.0,658.0,579.0,556.0,204.0,1.0,461.0,27.0,2220.0,160.0,2036.0,578.0,43.0
2006-05,1206.0,9.0,346.0,966.0,769.0,864.0,621.0,291.0,1.0,571.0,41.0,2394.0,163.0,2134.0,582.0,96.0
2006-06,1894.0,7.0,556.0,1505.0,1346.0,1207.0,921.0,472.0,1.0,868.0,51.0,3787.0,295.0,3787.0,893.0,109.0
2006-07,1067.0,6.0,334.0,926.0,779.0,771.0,500.0,257.0,,500.0,21.0,2058.0,178.0,2178.0,426.0,67.0
2006-08,1019.0,7.0,355.0,963.0,748.0,726.0,519.0,223.0,,449.0,30.0,2104.0,147.0,2244.0,499.0,47.0
2006-09,1012.0,4.0,342.0,1130.0,893.0,885.0,599.0,280.0,5.0,523.0,30.0,2453.0,156.0,2132.0,536.0,81.0
2006-10,1073.0,6.0,315.0,963.0,822.0,738.0,540.0,228.0,3.0,453.0,31.0,2118.0,185.0,2090.0,512.0,60.0
2006-11,1004.0,12.0,329.0,1042.0,1012.0,777.0,528.0,276.0,,480.0,29.0,2420.0,243.0,2081.0,591.0,75.0
2006-12,1708.0,24.0,542.0,1717.0,1483.0,1247.0,803.0,494.0,5.0,756.0,65.0,3660.0,272.0,3327.0,764.0,104.0
2007-01,647.0,14.0,275.0,516.0,664.0,534.0,349.0,218.0,3.0,393.0,23.0,1401.0,131.0,1245.0,296.0,54.0
2007-02,653.0,14.0,253.0,611.0,615.0,527.0,347.0,186.0,4.0,332.0,19.0,1477.0,106.0,1308.0,312.0,44.0
2007-03,1184.0,27.0,328.0,1066.0,869.0,723.0,481.0,332.0,1.0,515.0,33.0,2235.0,200.0,1900.0,459.0,85.0
2007-04,850.0,8.0,281.0,852.0,556.0,506.0,374.0,227.0,7.0,362.0,15.0,1789.0,144.0,1569.0,348.0,67.0
2007-05,968.0,14.0,288.0,915.0,729.0,704.0,418.0,242.0,4.0,479.0,19.0,1933.0,169.0,1775.0,396.0,83.0
2007-06,1501.0,7.0,493.0,1319.0,991.0,859.0,698.0,461.0,4.0,596.0,37.0,3210.0,181.0,2862.0,635.0,84.0
2007-07,764.0,8.0,223.0,679.0,572.0,564.0,448.0,172.0,2.0,335.0,13.0,1563.0,116.0,1567.0,295.0,58.0
2007-08,759.0,7.0,250.0,630.0,484.0,484.0,372.0,170.0,2.0,254.0,22.0,1462.0,114.0,1360.0,265.0,41.0
2007-09,714.0,7.0,215.0,553.0,491.0,545.0,341.0,242.0,1.0,228.0,36.0,1434.0,71.0,1341.0,311.0,58.0
2007-10,759.0,9.0,244.0,529.0,561.0,584.0,452.0,219.0,1.0,429.0,17.0,1593.0,98.0,1446.0,391.0,39.0
2007-11,614.0,4.0,283.0,626.0,540.0,467.0,417.0,242.0,,394.0,19.0,1497.0,147.0,1622.0,409.0,29.0
2007-12,989.0,7.0,359.0,748.0,771.0,626.0,579.0,309.0,,444.0,17.0,2372.0,175.0,2127.0,658.0,37.0
2008-01,302.0,2.0,121.0,334.0,374.0,244.0,196.0,123.0,1.0,139.0,3.0,824.0,68.0,901.0,309.0,39.0
2008-02,404.0,3.0,180.0,394.0,468.0,292.0,226.0,125.0,1.0,191.0,6.0,1008.0,97.0,879.0,277.0,50.0
2008-03,652.0,14.0,327.0,522.0,565.0,441.0,351.0,224.0,,293.0,14.0,1634.0,78.0,1368.0,331.0,46.0
2008-04,877.0,3.0,183.0,481.0,540.0,495.0,324.0,180.0,,237.0,9.0,1808.0,72.0,1582.0,514.0,44.0
2008-05,740.0,13.0,233.0,554.0,694.0,443.0,361.0,193.0,,220.0,7.0,1667.0,105.0,1515.0,505.0,43.0
